"model","n_replicates","n_units","prop_units_stable","mean_distinct_sets","alpha_nominal","alpha_headline","ci_lower","ci_upper","n_failed"
"DeepSeek-V4-Flash-DSpark",5,107,0.94392523364486,1.05607476635514,0.928887705163632,0.928887705163632,0.862056472959835,0.977120105774638,0
"qwen3.6:latest",3,107,0.906542056074766,1.09345794392523,0.860863515805035,0.860863515805035,0.773716186672757,0.937231636351589,0
"gpt-oss:20b",5,107,0.831775700934579,1.17757009345794,0.819008119888625,0.819008119888625,0.739669209956357,0.887983477597471,0
